condition,time_ms,mean_H
B,8322.900390625,1.0012037754058838
B,8323.0,1.0012037754058838
B,8323.1005859375,1.0012037754058838
B,8323.2001953125,1.0012037754058838
B,8323.2998046875,1.0012037754058838
B,8323.400390625,1.0012037754058838
B,8323.5,1.0012037754058838
B,8323.6005859375,1.0012037754058838
B,8323.7001953125,1.0012037754058838
B,8323.7998046875,1.0012037754058838
B,8323.900390625,1.0012037754058838
B,8324.0,1.0012037754058838
B,8324.1005859375,1.0012037754058838
B,8324.2001953125,1.0012037754058838
B,8324.2998046875,1.0012037754058838
B,8324.400390625,1.0012037754058838
B,8324.5,1.0012037754058838
B,8324.6005859375,1.0012037754058838
B,8324.7001953125,1.0012037754058838
B,8324.7998046875,1.0012037754058838
B,8324.900390625,1.0012037754058838
B,8325.0,1.0012037754058838
B,8325.1005859375,1.0012037754058838
B,8325.2001953125,1.0012037754058838
B,8325.2998046875,1.0012037754058838
B,8325.400390625,1.0012037754058838
B,8325.5,1.0012037754058838
B,8325.6005859375,1.0012037754058838
B,8325.7001953125,1.0012037754058838
B,8325.7998046875,1.0012037754058838
B,8325.900390625,1.0012037754058838
B,8326.0,1.0012037754058838
B,8326.1005859375,1.0012037754058838
B,8326.2001953125,1.0012037754058838
B,8326.2998046875,1.0012037754058838
B,8326.400390625,1.0012037754058838
B,8326.5,1.0012037754058838
B,8326.6005859375,1.0012037754058838
B,8326.7001953125,1.0012037754058838
B,8326.7998046875,1.0012037754058838
B,8326.900390625,1.0012037754058838
B,8327.0,1.0012037754058838
B,8327.1005859375,1.0012037754058838
B,8327.2001953125,1.0012037754058838
B,8327.2998046875,1.0012037754058838
B,8327.400390625,1.0012037754058838
B,8327.5,1.0012037754058838
B,8327.6005859375,1.0012037754058838
B,8327.7001953125,1.0012037754058838
B,8327.7998046875,1.0012037754058838
B,8327.900390625,1.0012037754058838
B,8328.0,1.0012037754058838
B,8328.1005859375,1.0012037754058838
B,8328.2001953125,1.0012037754058838
B,8328.2998046875,1.0012037754058838
B,8328.400390625,1.0012037754058838
B,8328.5,1.0012037754058838
B,8328.6005859375,1.0012037754058838
B,8328.7001953125,1.0012037754058838
B,8328.7998046875,1.0012037754058838
B,8328.900390625,1.0012037754058838
B,8329.0,1.0012037754058838
B,8329.1005859375,1.0012037754058838
B,8329.2001953125,1.0012037754058838
B,8329.2998046875,1.0012037754058838
B,8329.400390625,1.0012037754058838
B,8329.5,1.0012037754058838
B,8329.6005859375,1.0012037754058838
B,8329.7001953125,1.0012037754058838
B,8329.7998046875,1.0012037754058838
B,8329.900390625,1.0012037754058838
B,8330.0,1.0012037754058838
B,8330.1005859375,1.0012037754058838
B,8330.2001953125,1.0012037754058838
B,8330.2998046875,1.0012037754058838
B,8330.400390625,1.0012037754058838
B,8330.5,1.0012037754058838
B,8330.6005859375,1.0012037754058838
B,8330.7001953125,1.0012037754058838
B,8330.7998046875,1.0012037754058838
B,8330.900390625,1.0012037754058838
B,8331.0,1.0012037754058838
B,8331.1005859375,1.0012037754058838
B,8331.2001953125,1.0012037754058838
B,8331.2998046875,1.0012037754058838
B,8331.400390625,1.0012037754058838
B,8331.5,1.0012037754058838
B,8331.6005859375,1.0012037754058838
B,8331.7001953125,1.0012037754058838
B,8331.7998046875,1.0012037754058838
B,8331.900390625,1.0012037754058838
B,8332.0,1.0012037754058838
B,8332.1005859375,1.0012037754058838
B,8332.2001953125,1.0012037754058838
B,8332.2998046875,1.0012037754058838
B,8332.400390625,1.0012037754058838
B,8332.5,1.0012037754058838
B,8332.6005859375,1.0012037754058838
B,8332.7001953125,1.0012037754058838
B,8332.7998046875,1.0012037754058838
B,8332.900390625,1.0012037754058838
B,8333.0,1.0012037754058838
B,8333.1005859375,1.0012037754058838
B,8333.2001953125,1.0012037754058838
B,8333.2998046875,1.0012037754058838
B,8333.400390625,1.0012037754058838
B,8333.5,1.0012037754058838
B,8333.6005859375,1.0012037754058838
B,8333.7001953125,1.0012037754058838
B,8333.7998046875,1.0012037754058838
B,8333.900390625,1.0012037754058838
B,8334.0,1.0012037754058838
B,8334.1005859375,1.0012037754058838
B,8334.2001953125,1.0012037754058838
B,8334.2998046875,1.0012037754058838
B,8334.400390625,1.0012037754058838
B,8334.5,1.0012037754058838
B,8334.6005859375,1.0012037754058838
B,8334.7001953125,1.0012037754058838
B,8334.7998046875,1.0012037754058838
B,8334.900390625,1.0012037754058838
B,8335.0,1.0012037754058838
B,8335.1005859375,1.0012037754058838
B,8335.2001953125,1.0012037754058838
B,8335.2998046875,1.0012037754058838
B,8335.400390625,1.0012037754058838
B,8335.5,1.0012037754058838
B,8335.6005859375,1.0012037754058838
B,8335.7001953125,1.0012037754058838
B,8335.7998046875,1.0012037754058838
B,8335.900390625,1.0012037754058838
B,8336.0,1.0012037754058838
B,8336.1005859375,1.0012037754058838
B,8336.2001953125,1.0012037754058838
B,8336.2998046875,1.0012037754058838
B,8336.400390625,1.0012037754058838
B,8336.5,1.0012037754058838
B,8336.6005859375,1.0012037754058838
B,8336.7001953125,1.0012037754058838
B,8336.7998046875,1.0012037754058838
B,8336.900390625,1.0012037754058838
B,8337.0,1.0012037754058838
B,8337.1005859375,1.0012037754058838
B,8337.2001953125,1.0012037754058838
B,8337.2998046875,1.0012037754058838
B,8337.400390625,1.0012037754058838
B,8337.5,1.0012037754058838
B,8337.6005859375,1.0012037754058838
B,8337.7001953125,1.0012037754058838
B,8337.7998046875,1.0012037754058838
B,8337.900390625,1.0012037754058838
B,8338.0,1.0012037754058838
B,8338.1005859375,1.0012037754058838
B,8338.2001953125,1.0012037754058838
B,8338.2998046875,1.0012037754058838
B,8338.400390625,1.0012037754058838
B,8338.5,1.0012037754058838
B,8338.6005859375,1.0012037754058838
B,8338.7001953125,1.0012037754058838
B,8338.7998046875,1.0012037754058838
B,8338.900390625,1.0012037754058838
B,8339.0,1.0012037754058838
B,8339.1005859375,1.0012037754058838
B,8339.2001953125,1.0012037754058838
B,8339.2998046875,1.0012037754058838
B,8339.400390625,1.0012037754058838
B,8339.5,1.0012037754058838
B,8339.6005859375,1.0012037754058838
B,8339.7001953125,1.0012037754058838
B,8339.7998046875,1.0012037754058838
B,8339.900390625,1.0012037754058838
B,8340.0,1.0012037754058838
B,8340.1005859375,1.0012037754058838
B,8340.2001953125,1.0012037754058838
B,8340.2998046875,1.0012037754058838
B,8340.400390625,1.0012037754058838
B,8340.5,1.0012037754058838
B,8340.6005859375,1.0012037754058838
B,8340.7001953125,1.0012037754058838
B,8340.7998046875,1.0012037754058838
B,8340.900390625,1.0012037754058838
B,8341.0,1.0012037754058838
B,8341.1005859375,1.0012037754058838
B,8341.2001953125,1.0012037754058838
B,8341.2998046875,1.0012037754058838
B,8341.400390625,1.0012037754058838
B,8341.5,1.0012037754058838
B,8341.6005859375,1.0012037754058838
B,8341.7001953125,1.0012037754058838
B,8341.7998046875,1.0012037754058838
B,8341.900390625,1.0012037754058838
B,8342.0,1.0012037754058838
B,8342.1005859375,1.0012037754058838
B,8342.2001953125,1.0012037754058838
B,8342.2998046875,1.0012037754058838
B,8342.400390625,1.0012037754058838
B,8342.5,1.0012037754058838
B,8342.6005859375,1.0012037754058838
B,8342.7001953125,1.0012037754058838
B,8342.7998046875,1.0012037754058838
B,8342.900390625,1.0012037754058838
B,8343.0,1.0012037754058838
B,8343.1005859375,1.0012037754058838
B,8343.2001953125,1.0012037754058838
B,8343.2998046875,1.0012037754058838
B,8343.400390625,1.0012037754058838
B,8343.5,1.0012037754058838
B,8343.6005859375,1.0012037754058838
B,8343.7001953125,1.0012037754058838
B,8343.7998046875,1.0012037754058838
B,8343.900390625,1.0012037754058838
B,8344.0,1.0012037754058838
B,8344.1005859375,1.0012037754058838
B,8344.2001953125,1.0012037754058838
B,8344.2998046875,1.0012037754058838
B,8344.400390625,1.0012037754058838
B,8344.5,1.0012037754058838
B,8344.6005859375,1.0012037754058838
B,8344.7001953125,1.0012037754058838
B,8344.7998046875,1.0012037754058838
B,8344.900390625,1.0012037754058838
B,8345.0,1.0012037754058838
B,8345.1005859375,1.0012037754058838
B,8345.2001953125,1.0012037754058838
B,8345.2998046875,1.0012037754058838
B,8345.400390625,1.0012037754058838
B,8345.5,1.0012037754058838
B,8345.6005859375,1.0012037754058838
B,8345.7001953125,1.0012037754058838
B,8345.7998046875,1.0012037754058838
B,8345.900390625,1.0012037754058838
B,8346.0,1.0012037754058838
B,8346.1005859375,1.0012037754058838
B,8346.2001953125,1.0012037754058838
B,8346.2998046875,1.0012037754058838
B,8346.400390625,1.0012037754058838
B,8346.5,1.0012037754058838
B,8346.6005859375,1.0012037754058838
B,8346.7001953125,1.0012037754058838
B,8346.7998046875,1.0012037754058838
B,8346.900390625,1.0012037754058838
B,8347.0,1.0012037754058838
B,8347.1005859375,1.0012037754058838
B,8347.2001953125,1.0012037754058838
B,8347.2998046875,1.0012037754058838
B,8347.400390625,1.0012037754058838
B,8347.5,1.0012037754058838
B,8347.6005859375,1.0012037754058838
B,8347.7001953125,1.0012037754058838
B,8347.7998046875,1.0012037754058838
B,8347.900390625,1.0012037754058838
B,8348.0,1.0012037754058838
B,8348.1005859375,1.0012037754058838
B,8348.2001953125,1.0012037754058838
B,8348.2998046875,1.0012037754058838
B,8348.400390625,1.0012037754058838
B,8348.5,1.0012037754058838
B,8348.6005859375,1.0012037754058838
B,8348.7001953125,1.0012037754058838
B,8348.7998046875,1.0012037754058838
B,8348.900390625,1.0012037754058838
B,8349.0,1.0012037754058838
B,8349.1005859375,1.0012037754058838
B,8349.2001953125,1.0012037754058838
B,8349.2998046875,1.0012037754058838
B,8349.400390625,1.0012037754058838
B,8349.5,1.0012037754058838
B,8349.6005859375,1.0012037754058838
B,8349.7001953125,1.0012037754058838
B,8349.7998046875,1.0012037754058838
B,8349.900390625,1.0012037754058838
B,8350.0,1.0012037754058838
B,8350.1005859375,1.0012037754058838
B,8350.2001953125,1.0012037754058838
B,8350.2998046875,1.0012037754058838
B,8350.400390625,1.0012037754058838
B,8350.5,1.0012037754058838
B,8350.6005859375,1.0012037754058838
B,8350.7001953125,1.0012037754058838
B,8350.7998046875,1.0012037754058838
B,8350.900390625,1.0012037754058838
B,8351.0,1.0012037754058838
B,8351.1005859375,1.0012037754058838
B,8351.2001953125,1.0012037754058838
B,8351.2998046875,1.0012037754058838
B,8351.400390625,1.0012037754058838
B,8351.5,1.0012037754058838
B,8351.6005859375,1.0012037754058838
B,8351.7001953125,1.0012037754058838
B,8351.7998046875,1.0012037754058838
B,8351.900390625,1.0012037754058838
B,8352.0,1.0012037754058838
B,8352.1005859375,1.0012037754058838
B,8352.2001953125,1.0012037754058838
B,8352.2998046875,1.0012037754058838
